#          chi2            h           Omegam           OmegaK          
        32.6885        0.700817        0.138415        0.389472 
        36.0661        0.698606        0.173008        0.381127 
        34.2777        0.695126        0.133172        0.336649 
        36.1887        0.693429        0.132827        0.343356 
        30.6675          0.7007         0.13087        0.359675 
        31.4793        0.700937         0.10867         0.37748 
        30.7436        0.694816        0.149395        0.361074 
        35.8082        0.687485        0.200933        0.389539 
        35.8466        0.694145        0.207265        0.351971 
        30.0733        0.698019        0.149633        0.338169 
        31.0706        0.698395         0.16267        0.268557 
        30.7894        0.701133        0.168556        0.232685 
        29.6919        0.699766        0.220411          0.1922 
        29.5423         0.69924         0.22618        0.178069 
        30.6272        0.696403        0.217815        0.184827 
         29.355         0.70138        0.263325       0.0544113 
        29.8543        0.702829        0.275226     -0.00405432 
        30.4904        0.700121         0.30547      -0.0421267 
        29.4259        0.703185        0.290679      -0.0067427 
        30.5653        0.703354        0.266543     -0.00480288 
        29.4154        0.701654        0.289864      0.00635676 
        36.3618         0.69951        0.357508      -0.0223017 
        35.3756        0.700712         0.28652       -0.066058 
        30.8096        0.698166        0.328012      -0.0263336 
        31.1737        0.704002        0.315079      -0.0268398 
        32.2235         0.70465        0.337892      -0.0711293 
        31.8243        0.710591        0.358664       -0.210652 
         31.272        0.700924        0.381289       -0.190776 
        31.7252        0.701452        0.404845       -0.228575 
        30.9594        0.704177        0.374755       -0.174298 
        35.0038        0.696204        0.394229       -0.194459 
        33.8477        0.700268        0.402874       -0.265735 
        34.1976        0.712304        0.380115       -0.247923 
        31.7762        0.705279        0.381928       -0.267089 
        33.6556        0.698998        0.392815       -0.225616 
        30.3983        0.701004        0.350952       -0.118937 
        33.4763        0.713198        0.326689       -0.163431 
        35.6352        0.712406        0.323003       -0.112743 
        31.3477         0.70594        0.323319      -0.0666975 
        31.0297        0.706849        0.313271       -0.137419 
        29.9814        0.702927        0.344907          -0.124 
        29.9669        0.705487        0.331339       -0.136994 
        31.1303        0.706825        0.315794       -0.144132 
        31.4063        0.698335        0.355526      -0.0855487 
        30.8105        0.701611        0.358871        -0.16183 
        35.8312        0.692418        0.374025      -0.0807119 
        36.3753        0.692201        0.387367      -0.0883646 
        34.1596        0.694376        0.338194      -0.0552906 
        32.5898        0.695409        0.345044      -0.0502183 
        31.6903        0.701444        0.277557      -0.0230254 
        30.9476        0.704022        0.248881       0.0217809 
        30.0926        0.701001        0.257259       0.0475965 
        30.1593        0.706593        0.299078      -0.0489948 
        33.5299        0.708216        0.344102       -0.115578 
        36.2587        0.703483        0.282339      -0.0930239 
        29.8111        0.706054        0.299726      -0.0715963 
        30.9011        0.706109        0.288233      -0.0779872 
        29.8716          0.7051        0.279828       -0.031258 
        30.6871         0.70483        0.317763      -0.0509287 
        31.8571        0.704803         0.26455       -0.030427 
        31.7108        0.706013        0.284644       0.0199261 
        30.4918        0.702664        0.260688       0.0153044 
        31.9059        0.704941        0.306374     -0.00932625 
         31.071        0.707769         0.23224       0.0450671 
        32.0826        0.695506        0.278326       0.0576038 
        32.5088        0.694647        0.252623        0.210753 
        30.8624        0.694948        0.255387         0.15649 
        30.6601        0.695213        0.245808        0.162138 
        31.0236        0.694664        0.257913         0.15094 
        31.2756        0.698476        0.256663        0.158632 
        31.0292        0.696473        0.256714       0.0987766 
        31.2317        0.697169        0.232815        0.130393 
        37.0018        0.688687        0.298134        0.106165 
         35.248        0.691485        0.306703        0.129467 
        34.5647        0.698979        0.307985       0.0784255 
        33.3089        0.695466        0.333033       0.0272575 
        33.0648        0.693523        0.319681       0.0242133 
        33.0996        0.692005        0.282797        0.128732 
          30.65        0.696169        0.273543        0.089493 
        30.0818        0.697321        0.269351       0.0972011 
        30.8633        0.699626        0.270792        0.111344 
        30.4171        0.703382        0.178055        0.206707 
        35.0411        0.698148        0.172921        0.206135 
        33.6819        0.692264        0.212853         0.22003 
        31.8322        0.702736        0.177869        0.278362 
         33.024        0.696004        0.152221        0.295841 
         30.306        0.698983        0.166454        0.268677 
        32.8776        0.702348        0.140158        0.261654 
        30.9292        0.698778        0.124566        0.360975 
        30.9209        0.700798        0.145407        0.290573 
        30.8996        0.693654        0.161325        0.368622 
        30.3761        0.697425        0.134493        0.388617 
        32.2658        0.699424       0.0903701        0.416999 
        31.1712        0.695166        0.119271        0.460353 
        32.0761        0.692405       0.0945543        0.541005 
        36.4265        0.691506        0.109805        0.582353 
        39.1171        0.688203        0.119212        0.611705 
        37.1759        0.689676        0.106173        0.610777 
        36.1639        0.685806       0.0939933        0.631674 
        36.4688        0.684678       0.0698154        0.667994 
        33.7497        0.694904       0.0149306        0.632503 
        32.3613        0.695249       0.0508719        0.562301 
        33.2054        0.694364       0.0561005        0.539257 
        33.7407        0.700607       0.0339913        0.556479 
         35.417        0.695534       0.0281729        0.566077 
        31.9985        0.694126       0.0613084        0.563177 
         31.662        0.695467       0.0696658        0.533902 
        32.5992        0.695917       0.0509646        0.599625 
        32.2786        0.695124         0.04837        0.599244 
        33.0227        0.698182       0.0401933          0.5916 
        33.3093        0.695107       0.0657655         0.59857 
        32.0401        0.693355       0.0739341         0.57049 
        31.7125        0.693217        0.103511        0.472255 
        31.1597         0.69524        0.148268         0.40645 
        31.3516        0.700788        0.107175        0.413034 
        33.2129         0.70145       0.0746464        0.432001 
        34.0674        0.705547       0.0933802         0.39825 
        32.8324        0.703236       0.0862904        0.414367 
        34.2697        0.705592         0.10551        0.388339 
        30.6564        0.700237        0.126246        0.360286 
        32.8691        0.697639         0.20808        0.290021 
         30.102        0.699503        0.171639        0.299075 
        31.7117        0.699776        0.137869        0.303058 
        32.8243        0.697714        0.148394        0.285717 
        30.2512        0.700848        0.200191        0.234599 
        29.6592        0.700769        0.185939         0.23566 
        30.1233         0.70299        0.192372         0.21336 
        33.6452        0.709755        0.177648         0.17302 
        32.5393        0.705418         0.19646        0.213078 
        29.4778        0.699706        0.203357        0.210623 
        30.1807        0.697617        0.232151         0.14544 
        29.8438        0.698107         0.22292        0.203683 
        29.3551        0.700976        0.264523       0.0723247 
         29.996        0.700119        0.252833        0.069865 
        30.7625        0.698527        0.219659        0.145681 
        29.6765        0.698592         0.22521        0.159491 
        32.1952        0.699843        0.267413        0.135051 
        31.3671        0.703308        0.162373        0.223467 
        31.8227        0.699382        0.194433        0.175329 
        36.5083        0.701384        0.262849        0.167216 
        30.8344         0.70336        0.186313        0.173394 
        29.5867        0.700994        0.198837        0.194837 
        30.2349        0.702095        0.208567        0.140635 
        29.8178        0.699042        0.202053        0.238915 
        29.9324        0.700281        0.187781        0.256125 
        30.2678        0.701869        0.197307        0.226998 
        29.6106        0.698779        0.217859        0.200895 
          30.02        0.699911        0.213857        0.213221 
        32.6002        0.691819        0.248339        0.215034 
        29.7711        0.698052        0.206775        0.234229 
        31.4966        0.693839        0.191936         0.26757 
        32.5884        0.693753        0.166276         0.30357 
        30.7053        0.698395        0.148279        0.369011 
        30.7418        0.701438        0.154902        0.318199 
        31.0432        0.704565         0.17742        0.187747 
         30.192        0.704802        0.204747        0.146242 
        32.0707        0.704771        0.229629        0.153254 
        30.3087        0.703376        0.230582       0.0784851 
         31.177        0.694435         0.25575        0.147831 
        30.8355        0.697799        0.277722        0.107786 
         30.266        0.696505        0.259216         0.12222 
        31.5228        0.700844        0.222746        0.101038 
        31.3887        0.694684        0.279842        0.110601 
        31.8965        0.696048        0.233827        0.136102 
        29.5769        0.698362        0.212472        0.198884 
        29.5095        0.703739        0.240406        0.082369 
        30.0877        0.703797        0.192787        0.188048 
