#          Chi2            h           Omegam           Omegak          
        32.0083        0.710061        0.282579      -0.0990641 
        32.3181         0.71173        0.278121      -0.0721944 
        31.3581        0.706428         0.27916      -0.0675607 
        30.0911        0.701994        0.323153      -0.0907412 
        29.5705        0.703278        0.314991      -0.0677298 
        35.0542        0.714209        0.305684       -0.117899 
        31.2408         0.71021        0.299842       -0.101109 
        31.3387        0.710104        0.337193        -0.16651 
        30.0585        0.705467         0.34538       -0.143578 
        32.6037        0.696468        0.347548      -0.0866964 
        32.1158        0.703127        0.294557      -0.0807974 
        30.9804        0.703173        0.342599       -0.083974 
        31.0329        0.707746        0.338189       -0.131319 
        31.8113        0.705277        0.380839       -0.183767 
        32.9113        0.713429        0.332516       -0.198185 
        30.4739        0.707753        0.327391       -0.122506 
        30.4559        0.707737        0.356168       -0.200748 
        31.4877        0.701562        0.394622       -0.225825 
        34.1366        0.697208         0.39108       -0.196493 
         33.223        0.700634        0.396218       -0.251904 
        31.5613         0.70246        0.406425       -0.255828 
        35.3065        0.696052        0.418771       -0.227663 
        38.4615        0.693921        0.438501       -0.171004 
        40.5096        0.699032        0.405348      -0.0958106 
        38.4066        0.699033        0.355978       -0.203587 
        37.7245        0.698758         0.32838       -0.141962 
        35.7925        0.695584        0.355658       -0.129856 
        32.5783        0.698728         0.35506       -0.143005 
        32.6071        0.697851        0.386547       -0.166328 
        32.6983        0.700452        0.396372       -0.166819 
        30.6165        0.701059        0.305355      -0.0579244 
        30.8904        0.708366        0.306466      -0.0771919 
        33.9039        0.699978        0.356444      -0.0476973 
        34.7626        0.702093        0.337366      -0.0158123 
        29.5342        0.703635        0.309951      -0.0558794 
        31.3117        0.709485        0.312435       -0.101388 
        30.4832        0.707564        0.288655      -0.0756874 
        34.7759        0.713928        0.252644       -0.024444 
        38.2871        0.713008        0.210383     -0.00730509 
        36.4014        0.714374         0.23984      -0.0590697 
        36.9842         0.71445        0.243017      -0.0748631 
        32.6798        0.711771        0.267586      -0.0696684 
        29.9757        0.705144         0.32055      -0.0787819 
        31.0668        0.707942        0.274283      -0.0585716 
        30.6539        0.709039         0.31282       -0.125912 
        30.6388        0.707322        0.284053       -0.069503 
        29.7047         0.70538        0.296207      -0.0589881 
        30.0097        0.706954        0.315497       -0.110238 
        32.4674        0.704057        0.323451       -0.152426 
         32.831        0.698723         0.40253       -0.180268 
        31.5927        0.705523        0.379007       -0.185941 
        30.5454        0.706152        0.370422       -0.226227 
        30.2579        0.705284        0.357794        -0.16513 
        33.6901        0.712564         0.31986       -0.132663 
        30.7945        0.703663        0.314673       -0.109604 
        31.6652        0.701448        0.336381       -0.137575 
        32.5583        0.699029        0.328226       -0.100176 
        32.1217        0.707001        0.325047      -0.0740577 
        31.4333        0.700242        0.368069       -0.117783 
        30.3763        0.701785        0.343362       -0.128477 
        30.8529        0.703431        0.352078       -0.111947 
        30.2398        0.705133         0.29789      -0.0789803 
        29.8991        0.704253        0.312294       -0.091579 
        29.8737        0.706008        0.320696       -0.114815 
        31.0503        0.707443        0.317046      -0.0798156 
         31.931        0.708937        0.284516       -0.100245 
        32.5027        0.707883        0.381158       -0.206339 
        31.5653        0.699821         0.38135       -0.156405 
         31.416         0.70064        0.385595       -0.174988 
        34.1504        0.697452        0.414297       -0.181498 
        34.5196         0.69452        0.377933       -0.119598 
        32.6472        0.697966         0.35758      -0.0547423 
        36.2668        0.708345        0.288826       -0.148513 
        33.1881        0.708235        0.285144       -0.113954 
        32.1682        0.700168        0.289194      -0.0365299 
        34.1512        0.710493        0.296475      -0.0431509 
        33.8781        0.710229        0.262932       0.0243316 
        34.3148        0.712547        0.239856      -0.0315297 
